position_id,entry_time,close_time,trade_role,setup,direction,grade,session,thesis_action,risk_usd,peak_profit_usd,peak_r,final_pnl_usd,realized_r,exit_reason,quarantine,review_note
212,2026-06-19 14:12:33,2026-06-19 15:01:37,CORE,TREND_PULLBACK,SELL,A+,NY,ALLOW_CORE,678.37,295.04,0.43492489349470054,-686.08,-1.0113654790158764,BROKER_SL | bestFloating=295.04 shieldArmed=N,False,REVIEW: recorded peak 0.435R exceeded GENERAL 0.40R trigger; full June 19 log required.
214,2026-06-19 18:52:33,2026-06-22 01:00:00,CORE,M10_ORIGINATED_CANDIDATE,BUY,A,LATE,ALLOW_CORE,599.68,200.81,0.33486192636072576,-621.18,-1.0358524546424759,WEEKEND_CLOSE | BROKER_SL | bestFloating=200.81 shieldArmed=N,False,
220,2026-06-22 07:42:33,2026-06-22 09:51:21,CORE,M10_ORIGINATED_CANDIDATE,SELL,A,LDN,TRANSITION_WATCH,614.59,3.8,0.006182983777803088,-615.6,-1.0016433720041003,BROKER_SL | bestFloating=3.80 shieldArmed=N,False,
222,2026-06-22 22:12:33,2026-06-23 04:19:03,CORE,TREND_PULLBACK,BUY,A,LATE,TRANSITION_WATCH,560.14,193.02,0.34459242332274076,-563.88,-1.0066769022030206,BROKER_SL | bestFloating=193.02 shieldArmed=N,False,
224,2026-06-23 14:22:33,2026-06-23 15:14:16,CORE,M10_ORIGINATED_CANDIDATE,BUY,A,NY,TRANSITION_WATCH,505.74,47.43,0.09378336694744335,-509.02,-1.0064855459326927,BROKER_SL | bestFloating=47.43 shieldArmed=N,False,
228,2026-06-24 11:32:33,2026-06-24 12:29:44,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,LDN,OPPOSITE_DISCOVERY,465.29,19.17,0.041200111758258294,-466.02,-1.001568914010617,BROKER_SL | bestFloating=19.17 shieldArmed=N,False,
258,2026-07-03 09:42:30,2026-07-03 11:05:20,CORE,M10_ORIGINATED_CANDIDATE,SELL,A,LDN,TRANSITION_WATCH,977.04,134.9,0.13807008924916075,-983.35,-1.0064582821583559,BROKER_SL | bestFloating=134.90 shieldArmed=N,False,
260,2026-07-06 13:52:34,2026-07-06 15:43:29,CORE,M10_ORIGINATED_CANDIDATE,BUY,A+,NY,TRANSITION_WATCH,866.56,163.91,0.18915020310192024,-866.54,-0.9999769202363368,BROKER_SL | bestFloating=163.91 shieldArmed=N,False,
264,2026-07-07 01:42:35,2026-07-07 03:01:12,CORE,TREND_PULLBACK,BUY,A,ASIA,ALLOW_CORE,806.73,16.0,0.019833153595378874,-811.52,-1.0059375503576165,BROKER_SL | bestFloating=16.00 shieldArmed=N,False,
278,2026-07-09 14:12:30,2026-07-09 15:07:50,CORE,M10_ORIGINATED_CANDIDATE,SELL,B,NY,TRANSITION_WATCH,994.39,322.74,0.3245607860095134,-1008.81,-1.0145013525880187,BROKER_SL | bestFloating=322.74 shieldArmed=N,False,
282,2026-07-13 08:22:30,2026-07-13 09:04:12,CORE,TREND_PULLBACK,BUY,B,LDN,TRANSITION_WATCH,888.21,196.98,0.22177187827203024,-889.76,-1.0017450828069938,BROKER_SL | bestFloating=196.98 shieldArmed=N,False,
300,2026-07-17 04:32:30,2026-07-17 05:33:53,CORE,M10_ORIGINATED_CANDIDATE,BUY,B,ASIA,TRANSITION_WATCH,1021.35,364.21,0.35659666128163703,-1021.02,-0.9996768982229401,BROKER_SL | bestFloating=364.21 shieldArmed=N,False,
302,2026-07-17 11:22:33,2026-07-17 12:25:05,CORE,TREND_PULLBACK,SELL,A,LDN,TRANSITION_WATCH,915.86,241.74,0.2639486384381893,-916.4,-1.0005896097656846,BROKER_SL | bestFloating=241.74 shieldArmed=N,False,
