log_date	device_time	source_line	runtime	event_type	message
20260722	07:20:18.990	5981	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_HANDLE_RECREATE	M10_SNAPSHOT_HANDLE_RECREATE | bar=2026.07.22 09:10 | indicator=ATR_M10 | oldHandle=13 | result=OK | generation=6 | createError=4807
20260722	07:20:18.990	5982	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY | bar=2026.07.22 09:10 | indicator=ATR_M10 | observedHandle=13 | phase=BARSCALCULATED_4807_PERSISTED | rebuild=OK | rebuildAttempt=1/2
20260722	07:20:18.990	5983	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_DEFERRED	M10_SNAPSHOT_DEFERRED | bar=2026.07.22 09:10 | indicator=EMA_FAST_M10 | class=WRONG_HANDLE_REPAIR_PENDING | handle=10 | BarsCalculated=-1 | requested=11 | returned=-1 | GetLastError=4807 | attempt=3 | waitedSec=2 | nextRetry=09:20:20 | terminal=false
20260722	07:20:20.159	5984	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_READY	M10_SNAPSHOT_READY | bar=2026.07.22 09:10 | attempts=4 | waitedSec=3 | wrongHandleRecoveries=12 | transient4807Waits=36 | allRequiredIndicators=COMPLETE | closedShift=1 | immutable=true
20260722	07:20:20.159	5986	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_FRESHNESS	M10_FRESHNESS | currentTime=2026.07.22 09:20:20 evaluatedBarOpen=2026.07.22 09:10:00 evaluatedBarClose=2026.07.22 09:20:00 latestClosedBarOpen=2026.07.22 09:10:00 previousClosedBarOpen=2026.07.22 09:00:00 evaluatedShift=1 openAgeSeconds=620 closeAgeSeconds=20 freshnessState=FRESH dataState=COMPLETE staleCause= continuationEntryPaused=true
20260722	07:20:20.159	5987	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=7 barTime=2026.07.22 09:10 trendState=TREND_EXHAUSTED buyPressure=40.0 buySlope=-5.0 sellPressure=88.6 sellSlope=16.3 buyCaseScore=45.2 sellCaseScore=85.0 continuationScore=40.0 exhaustionScore=91.2 exhaustionPct=91.2 structure=STRUCTURE_STRONGLY_SUPPORTS location=LOCATION_RESET_PENDING buyRoomR=1.21 sellRoomR=5.81 preferredDirection=SELL decision=SELL_CANDIDATE confidence=85.0 reason=confirmed opposite case wins (score=85.0 vs dominant=45.2); Adaptive Transition already marked oppositeEntryAllowed=true
20260722	07:20:20.159	5988	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.22 09:10:00 barClose=2026.07.22 09:20:00 evidenceId=7 buyCaseScore=45.19 sellCaseScore=85.03 preferredDirection=SELL decision=SELL_CANDIDATE location=LOCATION_RESET_PENDING structure=STRUCTURE_STRONGLY_SUPPORTS freshness=FRESH dataState=COMPLETE
20260722	07:20:20.370	5994	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=BUY proposedSetup=TREND_PULLBACK m10Decision=SELL_CANDIDATE m10PreferredDirection=SELL m10Reason=confirmed opposite case wins (score=85.0 vs dominant=45.2); Adaptive Transition already marked oppositeEntryAllowed=true -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260722	07:20:20.370	5995	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_ORIGINATED_CANDIDATE_SHARED_PATH	M10_ORIGINATED_CANDIDATE_SHARED_PATH | direction=SELL setupScore=7.00 m10Confidence=85.0 m10Decision=SELL_CANDIDATE evidenceId=7 reason=confirmed opposite case wins (score=85.0 vs dominant=45.2); Adaptive Transition already marked oppositeEntryAllowed=true
20260722	07:20:20.370	5996	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_CANONICAL_SCORE_APPLIED	M10_CANONICAL_SCORE_APPLIED | direction=SELL | setup=M10_ORIGINATED_CANDIDATE | legacySetupScore=7.00 | canonicalM10Score=7.00 | finalSetupScore=7.00 | m10Confidence=85.0 | evidenceId=7
